doy,fabian_garcia
1,0.0606723
2,0.0643333
3,0.0690093
4,0.0703999
5,0.0703575
6,0.0666799
7,0.0695144
8,0.0698821
9,0.0738259
10,0.0736651
11,0.0709061
12,0.0739758
13,0.0761900
14,0.0723735
15,0.0769875
16,0.0776403
17,0.0745973
18,0.0766203
19,0.0803447
20,0.0802255
21,0.0766138
22,0.0775673
23,0.0759301
24,0.0778109
25,0.0833031
26,0.0788249
27,0.0789065
28,0.0864350
29,0.0804226
30,0.0845979
31,0.0818185
32,0.0845659
33,0.0834291
34,0.0859342
35,0.0832201
36,0.0885609
37,0.0968259
38,0.1004988
39,0.0996048
40,0.0901389
41,0.0917456
42,0.0867030
43,0.0867053
44,0.0887465
45,0.0990815
46,0.1039001
47,0.1039665
48,0.1118979
49,0.1047202
50,0.1044273
51,0.1121528
52,0.1072080
53,0.1117455
54,0.1099542
55,0.1111905
56,0.1041061
57,0.1075866
58,0.1126847
59,0.1111736
60,0.1107032
61,0.1170486
62,0.1212735
63,0.1282825
64,0.1269312
65,0.1311203
66,0.1335348
67,0.1241202
68,0.1241135
69,0.1353277
70,0.1445896
71,0.1342254
72,0.1433748
73,0.1457050
74,0.1510722
75,0.1502749
76,0.1475146
77,0.1515211
78,0.1462932
79,0.1511465
80,0.1645197
81,0.1569968
82,0.1572642
83,0.1614100
84,0.1542014
85,0.1623074
86,0.1589460
87,0.1593418
88,0.1599494
89,0.1578136
90,0.1698825
91,0.1816395
92,0.1769573
93,0.1659811
94,0.1711169
95,0.1785480
96,0.1739315
97,0.1606418
98,0.1837559
99,0.1842565
100,0.1872547
101,0.1851511
102,0.1852565
103,0.1861864
104,0.1991615
105,0.1958030
106,0.1916981
107,0.1965215
108,0.1991823
109,0.2088271
110,0.2134632
111,0.2113492
112,0.2214726
113,0.2051472
114,0.2052536
115,0.2048764
116,0.2105264
117,0.2199587
118,0.2227335
119,0.2222666
120,0.2189682
121,0.2179089
122,0.2176628
123,0.2267291
124,0.2348434
125,0.2419492
126,0.2455519
127,0.2487977
128,0.2363933
129,0.2423989
130,0.2427600
131,0.2356239
132,0.2386514
133,0.2401546
134,0.2485548
135,0.2454677
136,0.2404797
137,0.2432199
138,0.2528513
139,0.2524619
140,0.2529533
141,0.2608213
142,0.2543463
143,0.2559595
144,0.2599879
145,0.2632749
146,0.2497476
147,0.2568389
148,0.2585194
149,0.2712355
150,0.2791340
151,0.2822533
152,0.2864811
153,0.2918423
154,0.2824542
155,0.2744350
156,0.2793823
157,0.2779253
158,0.2810555
159,0.2794717
160,0.2667108
161,0.2748332
162,0.2787613
163,0.2863981
164,0.2797308
165,0.2735197
166,0.2836648
167,0.2913413
168,0.2841538
169,0.2809343
170,0.2904776
171,0.2892596
172,0.2874171
173,0.2848275
174,0.2823231
175,0.2917898
176,0.2947126
177,0.2905470
178,0.2762153
179,0.2703068
180,0.2786360
181,0.2695890
182,0.2730744
183,0.2853704
184,0.2669769
185,0.2620854
186,0.2675008
187,0.2690628
188,0.2645720
189,0.2679614
190,0.2729707
191,0.2529915
192,0.2560580
193,0.2671029
194,0.2751454
195,0.2703905
196,0.2619436
197,0.2586740
198,0.2495870
199,0.2565975
200,0.2646291
201,0.2596985
202,0.2602954
203,0.2538660
204,0.2494853
205,0.2551027
206,0.2589215
207,0.2562660
208,0.2399132
209,0.2366923
210,0.2423366
211,0.2402835
212,0.2428430
213,0.2357292
214,0.2351373
215,0.2424416
216,0.2470761
217,0.2374919
218,0.2400801
219,0.2416447
220,0.2466156
221,0.2439163
222,0.2361189
223,0.2437440
224,0.2479272
225,0.2355205
226,0.2304072
227,0.2305867
228,0.2308045
229,0.2252362
230,0.2284259
231,0.2288255
232,0.2286647
233,0.2351208
234,0.2329343
235,0.2284597
236,0.2222389
237,0.2182459
238,0.2302715
239,0.2294610
240,0.2284423
241,0.2183284
242,0.2196025
243,0.2164994
244,0.2136291
245,0.2183416
246,0.2116854
247,0.1999848
248,0.2048565
249,0.1993583
250,0.2079425
251,0.2056141
252,0.1998554
253,0.1948558
254,0.1866581
255,0.1954247
256,0.1973376
257,0.1896530
258,0.1796371
259,0.1899977
260,0.1865297
261,0.1899038
262,0.1931903
263,0.1920292
264,0.1852856
265,0.1764323
266,0.1859408
